trainee,id,cat,subcat,grade
7,4,학력,출신 학교 수준,C
7,4,학점,출신 학교 수준,B
7,4,경력,총 경력 연수,C
7,4,경력,직무 연관성,C
7,4,경력,성과 및 기여도,D
7,4,교육이력,전문교육 수료 여부,D
7,4,교육이력,기업 내 교육 참여,D
7,4,교육이력,자기개발 노력,C
7,4,자격증,직무 관련 자격증 (적합도),D
7,4,자격증,자격증 수준,D
7,4,자격증,자격증 최신성,C
7,5,학력,최종 학위 수준,B
7,5,학력,출신 학교 수준,C
7,5,학점,출신 학교 수준,B
7,5,경력,총 경력 연수,B
7,5,경력,직무 연관성,D
7,5,경력,성과 및 기여도,D
7,5,교육이력,전문교육 수료 여부,E
7,5,교육이력,기업 내 교육 참여,D
7,5,교육이력,자기개발 노력,E
7,5,자격증,직무 관련 자격증 (적합도),E
7,5,자격증,자격증 수준,D
7,5,자격증,자격증 최신성,A
7,6,학력,최종 학위 수준,B
7,6,학력,출신 학교 수준,C
7,6,학점,출신 학교 수준,B
7,6,경력,총 경력 연수,B
7,6,경력,직무 연관성,B
7,6,경력,성과 및 기여도,C
7,6,교육이력,전문교육 수료 여부,D
7,6,교육이력,기업 내 교육 참여,C
7,6,교육이력,자기개발 노력,D
7,6,자격증,직무 관련 자격증 (적합도),C
7,6,자격증,자격증 수준,C
7,6,자격증,자격증 최신성,B
7,7,학력,최종 학위 수준,B
7,7,학력,출신 학교 수준,C
7,7,학점,출신 학교 수준,B
7,7,경력,총 경력 연수,B
7,7,경력,직무 연관성,C
7,7,경력,성과 및 기여도,D
7,7,교육이력,전문교육 수료 여부,E
7,7,교육이력,기업 내 교육 참여,D
7,7,교육이력,자기개발 노력,D
7,7,자격증,직무 관련 자격증 (적합도),E
7,7,자격증,자격증 수준,E
7,7,자격증,자격증 최신성,E
7,8,학력,최종 학위 수준,C
7,8,학력,출신 학교 수준,D
7,8,학점,출신 학교 수준,A
7,8,경력,총 경력 연수,A
7,8,경력,직무 연관성,E
7,8,경력,성과 및 기여도,E
7,8,교육이력,전문교육 수료 여부,E
7,8,교육이력,기업 내 교육 참여,E
7,8,교육이력,자기개발 노력,E
7,8,자격증,직무 관련 자격증 (적합도),E
7,8,자격증,자격증 수준,E
7,8,자격증,자격증 최신성,E
7,9,학력,최종 학위 수준,C
7,9,학력,출신 학교 수준,B
7,9,학점,출신 학교 수준,B
7,9,경력,총 경력 연수,B
7,9,경력,직무 연관성,C
7,9,경력,성과 및 기여도,C
7,9,교육이력,전문교육 수료 여부,E
7,9,교육이력,기업 내 교육 참여,E
7,9,교육이력,자기개발 노력,E
7,9,자격증,직무 관련 자격증 (적합도),E
7,9,자격증,자격증 수준,E
7,9,자격증,자격증 최신성,E
7,10,학력,최종 학위 수준,C
7,10,학력,출신 학교 수준,C
7,10,학점,출신 학교 수준,C
7,10,경력,총 경력 연수,C
7,10,경력,직무 연관성,E
7,10,경력,성과 및 기여도,E
7,10,교육이력,전문교육 수료 여부,E
7,10,교육이력,기업 내 교육 참여,E
7,10,교육이력,자기개발 노력,E
7,10,자격증,직무 관련 자격증 (적합도),D
7,10,자격증,자격증 수준,E
7,10,자격증,자격증 최신성,E
7,11,학력,최종 학위 수준,C
7,11,학력,출신 학교 수준,C
7,11,학점,출신 학교 수준,B
7,11,경력,총 경력 연수,C
7,11,경력,직무 연관성,B
7,11,경력,성과 및 기여도,B
7,11,교육이력,전문교육 수료 여부,B
7,11,교육이력,기업 내 교육 참여,C
7,11,교육이력,자기개발 노력,B
7,11,자격증,직무 관련 자격증 (적합도),B
7,11,자격증,자격증 수준,A
7,11,자격증,자격증 최신성,B
7,12,학력,최종 학위 수준,B
7,12,학력,출신 학교 수준,B
7,12,학점,출신 학교 수준,B
7,12,경력,총 경력 연수,B
7,12,경력,직무 연관성,B
7,12,경력,성과 및 기여도,C
7,12,교육이력,전문교육 수료 여부,C
7,12,교육이력,기업 내 교육 참여,D
7,12,교육이력,자기개발 노력,D
7,12,자격증,직무 관련 자격증 (적합도),D
7,12,자격증,자격증 수준,C
7,12,자격증,자격증 최신성,C
7,13,학력,최종 학위 수준,B
7,13,학력,출신 학교 수준,C
7,13,학점,출신 학교 수준,B
7,13,경력,총 경력 연수,C
7,13,경력,직무 연관성,B
7,13,경력,성과 및 기여도,C
7,13,교육이력,전문교육 수료 여부,A
7,13,교육이력,기업 내 교육 참여,E
7,13,교육이력,자기개발 노력,C
7,13,자격증,직무 관련 자격증 (적합도),C
7,13,자격증,자격증 수준,C
7,13,자격증,자격증 최신성,C
7,14,학력,최종 학위 수준,C
7,14,학력,출신 학교 수준,C
7,14,학점,출신 학교 수준,B
7,14,경력,총 경력 연수,D
7,14,경력,직무 연관성,C
7,14,경력,성과 및 기여도,C
7,14,교육이력,전문교육 수료 여부,B
7,14,교육이력,기업 내 교육 참여,D
7,14,교육이력,자기개발 노력,C
7,14,자격증,직무 관련 자격증 (적합도),B
7,14,자격증,자격증 수준,B
7,14,자격증,자격증 최신성,B
7,15,학력,최종 학위 수준,C
7,15,학력,출신 학교 수준,C
7,15,학점,출신 학교 수준,A
7,15,경력,총 경력 연수,D
7,15,경력,직무 연관성,B
7,15,경력,성과 및 기여도,D
7,15,교육이력,전문교육 수료 여부,E
7,15,교육이력,기업 내 교육 참여,E
7,15,교육이력,자기개발 노력,E
7,15,자격증,직무 관련 자격증 (적합도),B
7,15,자격증,자격증 수준,A
7,15,자격증,자격증 최신성,A
7,16,학력,최종 학위 수준,C
7,16,학력,출신 학교 수준,D
7,16,학점,출신 학교 수준,A
7,16,경력,총 경력 연수,C
7,16,경력,직무 연관성,C
7,16,경력,성과 및 기여도,E
7,16,교육이력,전문교육 수료 여부,D
7,16,교육이력,기업 내 교육 참여,E
7,16,교육이력,자기개발 노력,E
7,16,자격증,직무 관련 자격증 (적합도),E
7,16,자격증,자격증 수준,E
7,16,자격증,자격증 최신성,E
